Nation,Year,Divorces,Birth_Rate,N_repro_female,F_Employment_Rate,F_Mean_Income,F_Median_Income,Fertility_Rate,Gdp,Employment_Gender_Gap,Closing_Housing_Price,M_Employment_Rate,M_Mean_Income,M_Median_Income,Marriages,Mean_Age_Childbearing,Population,Demand_For_Family,AVG_female_population,AVG_population_male,percentage_female_work_home,percentage_male_work_home,consumer_price_harmonized_index,F_mean_age_marriage,senior_position_woman,tertiary_ed_f,tertiary_ed_m,parliament_female,Perc_female_married_in_repro_age,Tot_f_married_in_repro_age
AT,2009,-0.31636458640032195,-0.6972728270769617,-0.3854843586123367,0.1855163562789906,0.5625068948801214,0.5861298014547275,-0.8817344357343858,-0.29351712563424837,0.15507371525337743,,0.4221795451164612,0.588635754508462,0.595845901824621,-0.41617529496008016,-0.47292299829191864,-0.4123919990442686,-0.8781761367698492,-0.4114623455606322,-0.41330167295496384,0.41798303345687227,0.646305307915976,-1.6314036116615442,,-1.3343420031688586,-2.1518757544509377,-1.4466027261411938,-0.1671481717715743,0.39090466528688744,-0.37878634912849907
AT,2010,-0.3500200715719567,-0.5601000290719148,-0.38741687114735784,0.2587464969154331,0.6437887130378632,0.6607156037152183,-0.6256714980418574,-0.2831373627595535,0.10475622421009965,-1.3093644311738843,0.4739897978481441,0.6779633723544194,0.6588015067415315,-0.3937468002143927,-0.33141269431308396,-0.4114860460922207,-0.7747047858627826,-0.41065908215366476,-0.4122880359389062,0.44618140839514125,0.7265412376326945,-1.4484705627695789,,-1.1755807065992157,-2.142426521960496,-1.553821970173699,0.09721169822698217,0.4087729655234805,-0.38023348213176744
AT,2011,-0.35454284322790464,-0.5974455028743355,-0.3895099750991177,0.3075665906730626,0.6811450130596963,0.6965038921197478,-0.6768840855803631,-0.26432501739509506,0.071211230181248,-1.1553754974407118,0.5085299663359335,0.7011604919625842,0.705329474070723,-0.4058361478157531,-0.17782224243361439,-0.41021204552387847,-0.6971012726824817,-0.4095778101012924,-0.410811940896923,0.5213770748971918,0.7354563409345523,-1.0585450129393676,0.02815857063753579,-0.9514471114420726,-2.1613249869413793,-1.458515975478139,0.01888284785703977,0.4390114568311882,-0.3815126707629796
AT,2012,-0.36184497176739594,-0.5759000372190931,-0.39131626403032094,0.3563866844306903,0.7270314918266724,0.7409974398659196,-0.6256714980418574,-0.2530573846781909,0.02089373913797023,-0.9751135702743912,0.5258000505798269,0.7748674687820758,0.7769580553538205,-0.3824353194828249,-0.038037673869151765,-0.40848197810666154,-0.6453655972289465,-0.40816987348333006,-0.4087440955072176,0.47437978333341024,0.7622016508401249,-0.7660754713978837,0.16976174240471814,-0.8767359130563582,-1.9817895696229908,-1.244077487413129,0.05804727304201097,0.4725958507097158,-0.3824226777128877
AT,2013,-0.38832466280333683,-0.5701545797110277,-0.392862399032203,0.4052067781883198,0.7371304390766692,0.7684028859414602,-0.6256714980418574,-0.24610828636873336,-0.07974124294858502,-0.8408293816160792,0.4912598820920375,0.764017203158902,0.7879778370896816,-0.40892600788187383,0.07931233430841927,-0.406233810808895,-0.7229691104092474,-0.4062981190175171,-0.4061011349505787,0.4931786999589228,0.6997959277271215,-0.5190854003911411,0.21696279966044446,-0.8113636144688582,-1.7644572223428363,-1.0058125006742293,0.36157156822553893,0.5015161988721356,-0.3832032121292722
AT,2014,-0.37091578196005126,-0.4372908748370308,-0.39414608891723596,0.4174118016277263,0.9105774068945766,0.9126307629350895,-0.5232463229648461,-0.2339000429927312,-0.23069371607841804,-0.6780827834051908,0.35309920814088236,0.9316350996824158,0.8952166389821822,-0.3946867226820588,0.17250204668472668,-0.40323217902967073,-0.8005726235895483,-0.40381728410156204,-0.40255349781204813,0.5213770748971918,0.7087110310289793,-0.3450858189256394,0.3113649141718988,-0.39111312354921485,,,0.18533165489316789,0.5398524676024286,-0.3834739946850985
AT,2015,-0.378394778664859,-0.28575443306182224,-0.39431876114094067,0.4296168250671345,0.8790059407343922,0.9031731972305892,-0.3696085603493291,-0.21919725150564165,-0.23069371607841804,-0.5149712825077306,0.37036929238477834,0.9228426430567404,0.9142971869877936,-0.31858541392067985,0.2924406579838619,-0.39888567112373224,-0.8523082990430835,-0.4004910525723924,-0.3971371753649212,0.5307765332099479,0.7532865475382675,-0.24783284398751523,0.45296808593908117,-0.12028502940100046,-0.35652158126705336,0.4833436664438937,0.20491386748565346,0.5876201465283987,-0.3823771773653923
AT,2016,-0.38931007115295674,-0.10836343250032257,-0.39476033546452816,0.5150519891429852,0.8943014336567175,0.9551898086053408,-0.1647582101953064,-0.20156569239999758,-0.2977837041361215,-0.24530819713139268,0.4221795451164612,0.9236844740102624,0.9341940151219873,-0.3143935757890196,0.35974433914452747,-0.394646266066664,-0.7747047858627826,-0.3971462224940216,-0.3919597525974541,0.5401759915227043,0.7354563409345523,-0.1295659172621291,0.5001691431948091,-0.2977241255670719,-0.1958846289295476,0.5309966637916743,0.22449608007813907,0.6246618780012764,-0.3818393114689832
AT,2017,-0.382715415274731,-0.1442725419257266,-0.3966603547946061,0.5760771063400212,1.057159214066861,1.0672834566711793,-0.21597079773381206,-0.18602909371257215,-0.2642387101072697,-0.07562844787564534,0.5430701348237229,1.068385861243452,1.061125575116536,-0.3134104384952539,0.4443053744489533,-0.3918988569299769,-0.6712334349557123,-0.3946855727333607,-0.3889115405532685,0.5307765332099479,0.6819657211234064,0.14483365607581739,0.5945712577062635,-0.19499622778671488,-0.08249383904425003,0.5548231624655638,0.35178046192929596,0.6957451360521888,-0.38188518173800295
AT,2018,-0.3795823220605548,-0.33028172874932377,-0.3993408359126474,0.6126921766582424,1.0713761786420994,1.1125293107802092,-0.4720337354263404,-0.16499595019135369,-0.09651373996301085,0.234538835710129,0.7675812299943503,1.0960727459370683,1.1259178103227567,-0.29734532689273113,0.5530267055546457,-0.38996094502044965,-0.5418942463218762,-0.3928645896625234,-0.38685099615957586,0.5119776165844353,0.6997959277271215,0.41141644541560746,0.6889733722177178,0.4493878582900716,-0.03524767659204255,0.5190834144547292,0.7923802452602235,0.7571729423641713,-0.3830004951339268
